2025-08-06T22:19:03.292+0800	ERROR	runtime/asm_amd64.s:1700	请求 Syncthing 事件失败	{"error": "Get \"http://127.0.0.1:8384/rest/events?since=0&timeout=30\": dial tcp 127.0.0.1:8384: connectex: No connection could be made because the target machine actively refused it.", "url": "http://127.0.0.1:8384/rest/events?since=0&timeout=30"}
2025-08-06T22:19:08.292+0800	DEBUG	runtime/asm_amd64.s:1700	准备请求 Syncthing 事件	{"lastEventID": 0}
2025-08-06T22:19:08.292+0800	DEBUG	runtime/asm_amd64.s:1700	开始请求 Syncthing 事件	{"url": "http://127.0.0.1:8384/rest/events?since=0&timeout=30"}
2025-08-06T22:19:08.293+0800	ERROR	runtime/asm_amd64.s:1700	请求 Syncthing 事件失败	{"error": "Get \"http://127.0.0.1:8384/rest/events?since=0&timeout=30\": dial tcp 127.0.0.1:8384: connectex: No connection could be made because the target machine actively refused it.", "url": "http://127.0.0.1:8384/rest/events?since=0&timeout=30"}
2025-08-06T22:19:13.293+0800	DEBUG	runtime/asm_amd64.s:1700	准备请求 Syncthing 事件	{"lastEventID": 0}
2025-08-06T22:19:13.293+0800	DEBUG	runtime/asm_amd64.s:1700	开始请求 Syncthing 事件	{"url": "http://127.0.0.1:8384/rest/events?since=0&timeout=30"}
2025-08-06T22:19:13.294+0800	ERROR	runtime/asm_amd64.s:1700	请求 Syncthing 事件失败	{"error": "Get \"http://127.0.0.1:8384/rest/events?since=0&timeout=30\": dial tcp 127.0.0.1:8384: connectex: No connection could be made because the target machine actively refused it.", "url": "http://127.0.0.1:8384/rest/events?since=0&timeout=30"}
2025-08-06T22:19:18.294+0800	DEBUG	runtime/asm_amd64.s:1700	准备请求 Syncthing 事件	{"lastEventID": 0}
2025-08-06T22:19:18.294+0800	DEBUG	runtime/asm_amd64.s:1700	开始请求 Syncthing 事件	{"url": "http://127.0.0.1:8384/rest/events?since=0&timeout=30"}
2025-08-06T22:19:18.294+0800	ERROR	runtime/asm_amd64.s:1700	请求 Syncthing 事件失败	{"error": "Get \"http://127.0.0.1:8384/rest/events?since=0&timeout=30\": dial tcp 127.0.0.1:8384: connectex: No connection could be made because the target machine actively refused it.", "url": "http://127.0.0.1:8384/rest/events?since=0&timeout=30"}
2025-08-06T22:19:23.295+0800	DEBUG	runtime/asm_amd64.s:1700	准备请求 Syncthing 事件	{"lastEventID": 0}
